Question,Answer
What is (are) Lung Cancer ?,"The body is made up of many types of cells. Normally, cells grow, divide, and produce more cells as needed to keep the body healthy and functioning properly. Sometimes, however, the process goes wrong -- cells become abnormal and form more cells in an uncontrolled way. These extra cells form a mass of tissue, called a growth or tumor. Tumors can be benign, meaning not cancerous, or malignant, meaning cancerous."
What is (are) Lung Cancer ?,"Lung cancer occurs when malignant tumors form in the tissue of the lung. The lungs are a pair of sponge-like organs. The right lung has three sections, called lobes, and is larger than the left lung, which has two lobes."
What is (are) Lung Cancer ?,"There are two major types of lung cancer -- non-small cell lung cancer and small cell lung cancer. Each type of lung cancer grows and spreads in different ways, and each is treated differently. Non-small cell lung cancer is more common than small cell lung cancer. It generally grows and spreads slowly.  Learn more about non-small cell carcinoma.  Small cell lung cancer,  sometimes called oat cell cancer, grows more quickly and is more likely to spread to other organs in the body.  Learn more about small cell carcinoma."
What causes Lung Cancer ?,"Cigarette smoking is the number one cause of lung cancer. Scientists have reported widely on the link between cancer and smoking since the 1960s. Since then, study after study has provided more proof that cigarette smoking is the primary cause of lung cancer. Before cigarette smoking became popular after World War I, doctors rarely, if ever, saw patients with lung cancer. But today, lung cancer is the leading cause of death by cancer. Over 85 percent of people with lung cancer developed it because they smoked cigarettes. Using tobacco products has been shown to cause many types of cancer. In fact, smoking tobacco, using smokeless tobacco, and being exposed regularly to second-hand tobacco smoke are responsible for a large number of cancer deaths in the U.S. each year."
Who is at risk for Lung Cancer? ?,"Risk factors that increase your chance of getting lung cancer include - cigarette, cigar, and pipe smoking, which account for well over half of all cases of lung cancer  - secondhand smoke  - family history  - HIV infection  - environmental risk factors  - beta carotene supplements in heavy smokers. cigarette, cigar, and pipe smoking, which account for well over half of all cases of lung cancer secondhand smoke family history HIV infection environmental risk factors beta carotene supplements in heavy smokers."
Who is at risk for Lung Cancer? ?,"If you smoke cigarettes, you are at much higher risk for lung cancer than a person who has never smoked. The risk of dying from lung cancer is 23 times higher for men who smoke and 13 times higher for women who smoke than for people who have never smoked. Stopping smoking greatly reduces your risk for developing lung cancer. But after you stop, the risk goes down slowly. Ten years after the last cigarette, the risk of dying from lung cancer drops by 50 percent. Each U.S. state and territory has a free quitline to provide you with information and resources to help you quit smoking. To reach the quitline in your area, dial toll-free, 1-800-QUIT-NOW. (Watch the video to learn about the effect smoking can have on an older adult's health. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)"
What causes Lung Cancer ?,"Some studies suggest that non-smokers who are exposed to environmental tobacco smoke, also called secondhand smoke, are at increased risk of lung cancer. Secondhand smoke is the smoke that non-smokers are exposed to when they share air space with someone who is smoking. Tobacco smoke contains more than 7,000 chemicals, including hundreds that are toxic and about 70 that can cause cancer. Since 1964, approximately 2,500,000 nonsmokers have died from health problems caused by exposure to secondhand smoke.  Learn more about the effects of secondhand smoke.  Learn more about the chemicals found in cigarettes."
Who is at risk for Lung Cancer? ?,"Quitting smoking not only cuts the risk of lung cancer, it cuts the risks of many other cancers as well as heart disease, stroke, other lung diseases, and other respiratory illnesses. Each U.S. state and territory has a free quitline to provide you with information and resources to help you quit smoking. To reach the quitline in your area, dial toll-free, 1-800-QUIT-NOW. (Watch the video to learn about the benefits of quitting smoking when you're older. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)  Learn more about the effects of smoking on your health."
Who is at risk for Lung Cancer? ?,"Another substance that can contribute to lung cancer is asbestos. Asbestos is used in shipbuilding, asbestos mining and manufacturing, insulation work, and brake repair, but many products that contain asbestos have been phased out over the past several decades. If inhaled, asbestos particles can lodge in the lungs, damaging cells and increasing the risk for lung cancer."
What are the symptoms of Lung Cancer ?,"The possible signs of lung cancer are: - a cough that doesn't go away and gets worse over time  - constant chest pain  - coughing up blood  - shortness of breath, wheezing, or hoarseness  - repeated problems with pneumonia or bronchitis  - swelling of the neck and face  - loss of appetite or weight loss  - fatigue. a cough that doesn't go away and gets worse over time constant chest pain coughing up blood shortness of breath, wheezing, or hoarseness repeated problems with pneumonia or bronchitis swelling of the neck and face loss of appetite or weight loss fatigue."
How to diagnose Lung Cancer ?,"Doctors can perform several tests to stage lung cancer. Staging means finding out how far the cancer has progressed. The following tests are used to stage lung cancer: - Computerized tomography or CAT scan is a computer linked to an x-ray machine that creates a series of detailed pictures of areas inside the body. Computerized tomography or CAT scan is a computer linked to an x-ray machine that creates a series of detailed pictures of areas inside the body. - Magnetic resonance imaging, or MRI, is a powerful magnet linked to a computer that makes detailed pictures of areas inside the body.  - Radionuclide scanning uses a mildly radioactive substance to show whether cancer has spread to other organs, such as the liver. Magnetic resonance imaging, or MRI, is a powerful magnet linked to a computer that makes detailed pictures of areas inside the body. Radionuclide scanning uses a mildly radioactive substance to show whether cancer has spread to other organs, such as the liver. - A bone scan uses a small amount of a radioactive substance to show whether cancer has spread to the bones.  - A mediastinoscopy or mediastinotomy can help show whether the cancer has spread to the lymph nodes in the chest by removing a tissue sample. The patient receives a general anesthetic for this procedure. A bone scan uses a small amount of a radioactive substance to show whether cancer has spread to the bones. A mediastinoscopy or mediastinotomy can help show whether the cancer has spread to the lymph nodes in the chest by removing a tissue sample. The patient receives a general anesthetic for this procedure."
What are the treatments for Lung Cancer ?,"Researchers are working to develop drugs called ""molecularly targeted agents"" which kill cancer cells by targeting key molecules involved in cancer cell growth."
What is (are) Problems with Taste ?,"Taste is the ability to detect different sensations in the mouth, such as sweet or salty. It is part of your body's chemical sensing system. Taste combines with other oral sensations, such as texture, spiciness, temperature, and aroma to produce what is commonly referred to as flavor."
How many people are affected by Problems with Taste ?,"Roughly 200,000 people each year visit a doctor for a chemosensory problem such as a taste disorder. Many more taste disorders go unreported."
How to prevent Problems with Taste ?,"Problems with taste that occur with aging cannot be prevented. However you may be able to protect yourself against other causes of taste loss with these steps. - Prevent upper respiratory infections such as colds and the flu. Wash your hands frequently, especially during the winter months, and get a flu shot every year.   - Avoid Head Injuries. Always wear seatbelts when riding in a car and a helmet when bicycling.   - Avoid Exposure to Toxic Chemicals. Avoid contact with chemicals that might cause smell problems such as paints, insecticides, and solvents, or wear a respirator if you cannot avoid contact.   - Review Your Medications. If you are taking antibiotics or antihistamines or other medications and notice a change in your sense of taste, talk to your doctor. You may be able to adjust or change your medicine to one that will not cause a problem with taste. Do not stop taking your medications unless directed by your doctor.   - Dont Smoke. It can impair the sense of taste. For free help to quit smoking, visit Smokefree.gov  Prevent upper respiratory infections such as colds and the flu. Wash your hands frequently, especially during the winter months, and get a flu shot every year. Avoid Head Injuries. Always wear seatbelts when riding in a car and a helmet when bicycling. Avoid Exposure to Toxic Chemicals. Avoid contact with chemicals that might cause smell problems such as paints, insecticides, and solvents, or wear a respirator if you cannot avoid contact. Review Your Medications. If you are taking antibiotics or antihistamines or other medications and notice a change in your sense of taste, talk to your doctor. You may be able to adjust or change your medicine to one that will not cause a problem with taste. Do not stop taking your medications unless directed by your doctor. Dont Smoke. It can impair the sense of taste. For free help to quit smoking, visit Smokefree.gov"
What causes Problems with Taste ?,"Yes. Certain medicines can cause a change in our ability to taste. The medicines that most frequently do this are certain antibiotics and some antihistamines, although other medications can affect our sense of taste as well. If your medicine is causing a problem with your sense of taste, your doctor may be able to adjust or change your medicine. If not, he or she may suggest ways to manage your problem. Do not stop taking your medications unless directed by your doctor. Your doctor will work with you to get the medicine you need while trying to reduce unwanted side effects."
How to diagnose Problems with Taste ?,"Doctors can diagnose a taste disorder by measuring the lowest concentration of a substance that a person can detect. The doctor may also ask a patient to compare the tastes of different substances or to note how the intensity of a taste grows when a substance's concentration is increased. Scientists have developed taste tests in which a person responds to different concentrations of a substance. This may involve a simple ""sip, spit, and rinse"" test, or the application of a substance directly to the tongue with an eye dropper. By using these tests, your doctor can determine if you have a true taste disorder and what type it is."
What is (are) Problems with Smell ?,"Smell is part of our chemical sensing system. Our sense of smell is the ability to detect odors in our environment through our nose, like the fragrance of flowers or the smell of baking bread. Smell is also the ability to detect food odors or aromas released in our mouths when we chew, which then flow from the roof of the throat region to the nose. Congestion blocks this flow and impacts our appreciation of the flavor of food."
What are the symptoms of Problems with Smell ?,"People who experience smell disorders either have a decrease in their ability to smell or changes in the way they perceive odors. Total smell loss is relatively rare, but a decrease in the sense of smell occurs more often, especially in older adults. There are several types of smell disorders depending on how the sense of smell is affected. - Some people have hyposmia, which occurs when their ability to detect certain odors is reduced.  - Other people can't detect odor at all, which is called anosmia.   - Sometimes a loss of smell can be accompanied by a change in the perception of odors. This type of smell disorder is called dysosmia. Familiar odors may become distorted, or an odor that usually smells pleasant instead smells foul.   - Still others may perceive a smell that isn't present at all, which is called phantosmia.   - Smell loss due to aging is called presbyosmia.  Some people have hyposmia, which occurs when their ability to detect certain odors is reduced. Other people can't detect odor at all, which is called anosmia. Sometimes a loss of smell can be accompanied by a change in the perception of odors. This type of smell disorder is called dysosmia. Familiar odors may become distorted, or an odor that usually smells pleasant instead smells foul. Still others may perceive a smell that isn't present at all, which is called phantosmia. Smell loss due to aging is called presbyosmia."
What causes Problems with Smell ?,"In rare cases, certain medicines such as antibiotics or antihistamines may cause a change in your ability to smell. If you are taking these medications and notice a change in your sense of smell, talk to your doctor. You may be able to adjust or change your medicine to one that will not cause a problem with smell."
What is (are) Problems with Smell ?,"You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of the problem?  - Did I have a cold or the flu?  - Did I have a head injury?   - Was I exposed to air pollutants, pollen, pet dander, or dust to which I might be allergic?  - Is this a recurring problem?  - Does it come at any special time, such as during the hay fever season? When did I first become aware of the problem? Did I have a cold or the flu? Did I have a head injury? Was I exposed to air pollutants, pollen, pet dander, or dust to which I might be allergic? Is this a recurring problem? Does it come at any special time, such as during the hay fever season?"
what research (or clinical trials) is being done for Problems with Smell ?,"The National Institute on Deafness and Other Communication Disorders (NIDCD) supports basic and clinical investigations of smell and taste disorders at its laboratories in Bethesda, Md. and at universities and chemosensory research centers across the country. These chemosensory scientists are exploring how to - promote the regeneration of sensory nerve cells   - understand the effects of the environment (such as gasoline fumes, chemicals, and extremes of humidity and temperature) on smell and taste  - prevent the effects of aging on smell and taste   - develop new diagnostic tests for taste and smell disorders   - understand associations between smell disorders and changes in diet and food preferences in the elderly or among people with chronic illnesses.  promote the regeneration of sensory nerve cells understand the effects of the environment (such as gasoline fumes, chemicals, and extremes of humidity and temperature) on smell and taste prevent the effects of aging on smell and taste develop new diagnostic tests for taste and smell disorders understand associations between smell disorders and changes in diet and food preferences in the elderly or among people with chronic illnesses."
What is (are) Low Vision ?,"Everyday Tasks Are Challenging  Low vision means that even with regular glasses, contact lenses, medicine, or surgery, people find everyday tasks difficult to do. Reading the mail, shopping, cooking, seeing the TV, and writing can seem challenging. Millions of Americans lose some of their vision every year. Irreversible vision loss is most common among people over age 65. (Watch the video to learn more about low vision. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Not a Normal Part of Aging Losing vision is not just part of getting older. Some normal changes occur as we get older. However, these changes usually don't lead to low vision."
What causes Low Vision ?,"Eye Diseases and Health Conditions Most people develop low vision because of eye diseases and health conditions like macular degeneration, cataracts, glaucoma, and diabetes. Your eye care professional can tell the difference between normal changes in the aging eye and those caused by eye diseases. Injuries and Birth Defects A few people develop vision loss after eye injuries or from birth defects. Although vision that is lost usually cannot be restored, many people can make the most of the vision they have. How a Scene Looks to People With Normal and Low Vision Scene as viewed by a person with normal vision. Scene as viewed by a person with diabetic retinopathy. Scene as viewed by a person with age-related macular degeneration. Scene as viewed by a person with glaucoma. Scene as viewed by a person with cataracts."
What is (are) Low Vision ?,"Low vision is a visual impairment, not correctable by standard glasses, contact lenses, medicine, or surgery, that interferes with a person's ability to perform everyday activities. (Watch the video to learn more about low vision. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)"
What causes Low Vision ?,"Low vision can result from a variety of diseases, disorders, and injuries that affect the eye. Many people with low vision have age-related macular degeneration, cataracts, glaucoma, or diabetic retinopathy. Age-related macular degeneration accounts for almost 45 percent of all cases of low vision."
Who is at risk for Low Vision? ?,"People age 60 and older, as well as African Americans and Hispanics over age 45, are at higher risk. African Americans and Hispanics are at higher risk for low vision because they are at higher risk for developing diabetes and diabetic retinopathy, and African Americans are at a higher risk for developing glaucoma."
What is (are) Low Vision ?,"Many agencies and organizations in the community provide assistance and information to people who have low vision and to their families and caregivers. State agencies for the blind and visually impaired can make referrals to a variety of organizations that provide assistance. Such services include vision rehabilitation, recreation, counseling, and job training or placement. For assistance in finding agencies and organizations, contact: National Eye Institute  National Institutes of Health  2020 Vision Place  Bethesda, MD 20892-3655  Phone: 301-496-5248  E-mail: 2020@nei.nih.gov  Website:  http://www.nei.nih.gov/"
What is (are) Peripheral Arterial Disease (P.A.D.) ?,"Arteries Clogged With Plaque Peripheral arterial disease (P.A.D.) is a disease in which plaque (plak) builds up in the arteries that carry blood to your head, organs, and limbs. Plaque is made up of fat, cholesterol, calcium, fibrous tissue, and other substances in the blood. When plaque builds up in the body's arteries, the condition is called atherosclerosis (ATH-er-o-skler-O-sis). Over time, plaque can harden and narrow the arteries. This limits the flow of oxygen-rich blood to your organs and other parts of your body. P.A.D. usually affects the arteries in the legs, but it can also affect the arteries that carry blood from your heart to your head, arms, kidneys, and stomach. Blocked blood flow to your legs can cause pain and numbness. It also can raise your risk of getting an infection in the affected limbs. Your body may have a hard time fighting the infection. Why is P.A.D. Dangerous? Over time, the plaque may crack and cause blood clots to form. These blood clots can block arteries, causing pain, numbness, inflammation, and even permanent tissue damage in the affected part of the body. If severe enough, blocked blood flow can cause tissue death (also called gangrene.) In very serious cases, this can lead to leg amputation. P.A.D. currently affects 8 million to 12 million Americans. About 1 in every 20 Americans over the age of 50 has P.A.D. African Americans are more than twice as likely as Caucasians to have P.A.D. If you have P.A.D., your risk of coronary artery disease, heart attack, stroke, and transient ischemic attack (""mini-stroke"") is much higher than in people without P.A.D. If you have coronary artery disease, you have a 1 in 3 chance of having blocked leg arteries. Although P.A.D. is serious, it is treatable. If you have the disease, it's important to see your doctor regularly and treat the underlying atherosclerosis. Other Names for Peripheral Arterial Disease -  Atherosclerotic peripheral arterial disease   -  Claudication (klaw-dih-KA-shen)   -  Hardening of the arteries   -  Leg cramps from poor circulation   -  Peripheral vascular disease   -  Poor circulation   -  Vascular disease  Atherosclerotic peripheral arterial disease Claudication (klaw-dih-KA-shen) Hardening of the arteries Leg cramps from poor circulation Peripheral vascular disease Poor circulation Vascular disease"
What are the symptoms of Peripheral Arterial Disease (P.A.D.) ?,"Common Symptoms Some people with P.A.D. do not have any symptoms. Others may have a number of signs and symptoms. People who have P.A.D. may notice symptoms when walking or climbing stairs. These symptoms may include pain, aching, or heaviness in the leg muscles. Symptoms may also include - pain  - aching, or heaviness in the leg muscles  - cramping in the affected leg(s) and in the buttocks, thighs, calves, and feet. pain aching, or heaviness in the leg muscles cramping in the affected leg(s) and in the buttocks, thighs, calves, and feet. They may go away after resting. These symptoms are called intermittent claudication (klaw-dih-KA-shen). If You Have Leg Pain If you have leg pain when you walk or climb stairs, talk to your doctor. Sometimes older people think that leg pain is part of aging when it could be P.A.D. Tell your doctor if you're feeling pain in your legs, and discuss whether you should be tested for P.A.D. Other Possible Signs Possible signs of P.A.D. include - weak or absent pulses in the legs or feet  - sores or wounds on the toes, feet, or legs that heal slowly, poorly, or not at all  - a pale or bluish color to the skin  - a lower temperature in one leg compared to the other leg  - poor toenail growth and decreased leg hair growth  - erectile dysfunction, especially in men who have diabetes. weak or absent pulses in the legs or feet sores or wounds on the toes, feet, or legs that heal slowly, poorly, or not at all a pale or bluish color to the skin a lower temperature in one leg compared to the other leg poor toenail growth and decreased leg hair growth erectile dysfunction, especially in men who have diabetes. Should I be Checked for P.A.D.? Even if you don't have symptoms or signs of P.A.D., you could still have the disease. Ask your doctor whether you should get checked for P.A.D. if you are - age 70 or older  - age 50 or older and have a history of smoking or diabetes   - younger than 50 years old and have diabetes and one or more risk factors for atherosclerosis. These risk factors include high cholesterol levels, high blood pressure, smoking, and being overweight. age 70 or older age 50 or older and have a history of smoking or diabetes younger than 50 years old and have diabetes and one or more risk factors for atherosclerosis. These risk factors include high cholesterol levels, high blood pressure, smoking, and being overweight."
What is (are) Peripheral Arterial Disease (P.A.D.) ?,"Peripheral arterial disease (P.A.D.) is a disease in which plaque (plak) builds up in the arteries that carry blood to your head, organs, and limbs. Plaque is made up of fat, cholesterol, calcium, fibrous tissue, and other substances in the blood. P.A.D. currently affects millions of Americans, and about 1 in every 20 Americans over the age of 50 has P.A.D."
What causes Peripheral Arterial Disease (P.A.D.) ?,"The most common cause of P.A.D. is atherosclerosis, a buildup of plaque in the arteries. Over time, plaque can harden and narrow the arteries. This limits the flow of oxygen-rich blood to your organs and other parts of your body."
Who is at risk for Peripheral Arterial Disease (P.A.D.)? ?,"Smoking is the main risk factor for P.A.D. Your risk of P.A.D. increases four times if you smoke. Smoking also raises your risk for other diseases, such as coronary heart disease (CHD). On average, smokers who develop P.A.D. have symptoms 10 years earlier than nonsmokers who develop P.A.D. As you get older, your risk for P.A.D. increases, usually starting in your fifties. Older age combined with other risk factors, such as smoking or diabetes, also puts you at higher risk. African American men and women have a greater risk of developing P.A.D. than Caucasians. Your risk for P.A.D. is higher if you have diabetes, high cholesterol, high blood pressure, heart disease, or have had a stroke. A family history of these conditions also makes P.A.D. more likely."
What are the symptoms of Peripheral Arterial Disease (P.A.D.) ?,"People who have P.A.D. may have symptoms when walking or climbing stairs. These may include pain, numbness, aching, or heaviness in the leg muscles. Symptoms may also include cramping in the affected leg(s) and in the buttocks, thighs, calves, and feet. Some possible signs of P.A.D. include - weak or absent pulses in the legs or feet  - sores or wounds on the toes, feet, or legs that heal slowly  - a pale or bluish color to the skin  - poor nail growth on the toes and decreased hair growth on the legs  - erectile dysfunction, especially among men who have diabetes. weak or absent pulses in the legs or feet sores or wounds on the toes, feet, or legs that heal slowly a pale or bluish color to the skin poor nail growth on the toes and decreased hair growth on the legs erectile dysfunction, especially among men who have diabetes."
What are the treatments for Peripheral Arterial Disease (P.A.D.) ?,"Yes. In some people, lifestyle changes are not enough to control P.A.D. Surgery and other procedures may be needed. These may include bypass grafting surgery, angioplasty, a stent, or a procedure called atherectomy (ath-eh-REK-to-mee). - Your doctor may recommend bypass grafting surgery if blood flow in your limb is blocked or nearly blocked. In this type of surgery, a blood vessel from another part of the body or a man-made tube is used to make a graft. This graft bypasses (goes around) the blocked part of the artery, which allows blood to flow around the blockage. This surgery doesn't cure P.A.D., but it may increase blood flow to the affected limb.  Your doctor may recommend bypass grafting surgery if blood flow in your limb is blocked or nearly blocked. In this type of surgery, a blood vessel from another part of the body or a man-made tube is used to make a graft. This graft bypasses (goes around) the blocked part of the artery, which allows blood to flow around the blockage. This surgery doesn't cure P.A.D., but it may increase blood flow to the affected limb. - Angioplasty is used to restore blood flow through a narrowed or blocked artery. During this procedure, a catheter (thin tube) with a balloon or other device on the end is inserted into a blocked artery. The balloon is inflated, which pushes the plaque outward against the wall of the artery. This widens the artery and restores blood flow.  Angioplasty is used to restore blood flow through a narrowed or blocked artery. During this procedure, a catheter (thin tube) with a balloon or other device on the end is inserted into a blocked artery. The balloon is inflated, which pushes the plaque outward against the wall of the artery. This widens the artery and restores blood flow. - A stent (a small mesh tube) may be placed in the artery during angioplasty. A stent helps keep the artery open after the procedure is done. Some stents are coated with medicine to help prevent blockages in the artery. A stent (a small mesh tube) may be placed in the artery during angioplasty. A stent helps keep the artery open after the procedure is done. Some stents are coated with medicine to help prevent blockages in the artery. - A procedure called atherectomy (ath-eh-REK-to-mee) may be used to remove plaque buildup from an artery. During the procedure, a catheter (thin tube) is used to insert a small cutting device into the blocked artery. The device is used to shave or cut off the plaque. The bits of plaque are removed from the body through the catheter or washed away in the bloodstream (if theyre small enough). Doctors also can do atherectomy using a special laser that dissolves the blockage. A procedure called atherectomy (ath-eh-REK-to-mee) may be used to remove plaque buildup from an artery. During the procedure, a catheter (thin tube) is used to insert a small cutting device into the blocked artery. The device is used to shave or cut off the plaque. The bits of plaque are removed from the body through the catheter or washed away in the bloodstream (if theyre small enough). Doctors also can do atherectomy using a special laser that dissolves the blockage."
What are the symptoms of Leukemia ?,"During the early stages of leukemia, there may be no symptoms. Many of the symptoms of leukemia don't become apparent until a large number of normal blood cells are crowded out by leukemia cells. Symptoms of Chronic and Acute Leukemia In chronic leukemia, symptoms develop gradually and, in the beginning, are generally not as severe as in acute leukemia. Chronic leukemia is usually found during a routine doctor's exam before symptoms are present. When symptoms appear, they generally are mild at first and gradually get worse, but sometimes they don't worsen until many years after an initial diagnosis. Recently, researchers discovered that abnormal white blood cells can be present in the blood of chronic lymphocytic leukemia patients a number of years before a diagnosis. This finding may lead to a better understanding of the cellular changes that occur in the earliest stages of the disease and how the disease progresses. In acute leukemia, symptoms usually appear and get worse quickly. People with this disease usually go to their doctor because they feel sick. White Blood Cell Levels May Be High People with leukemia may have very high levels of white blood cells, but because the cells are abnormal, they are unable to fight infection. Therefore, patients may develop frequent fevers or infections. A shortage of red blood cells, called anemia, can cause a person to feel tired. Not having enough blood platelets may cause a person to bleed and bruise easily. Some symptoms depend on where leukemia cells collect in the body. Leukemia cells can collect in many different tissues and organs, such as the digestive tract, kidneys, lungs, lymph nodes, or other parts of the body, including the eyes, brain, and testicles. Other Common Symptoms Other common symptoms of leukemia include headache, weight loss, pain in the bones or joints, swelling or discomfort in the abdomen (from an enlarged spleen), and swollen lymph nodes, especially in the neck or armpit. Symptoms of acute leukemia may include vomiting, confusion, loss of muscle control, and seizures. Some of the symptoms of leukemia are similar to those caused by the flu or other common diseases, so these symptoms are not sure signs of leukemia. It is important to check with your doctor if you have these symptoms. Only a doctor can diagnose and treat leukemia. Diagnosing Leukemia: Physical Exam, Blood Tests, Biopsy To find the cause of leukemia symptoms, the doctor will ask about medical history and conduct a physical exam. During the exam, the doctor will check for signs of disease such as lumps, swelling in the lymph nodes, spleen, and liver, or anything else that seems unusual. The doctor will need to do blood tests that check the levels and types of blood cells and look for changes in the shape of blood cells. The doctor also may look at certain factors in the blood to see if leukemia has affected other organs such as the liver or kidneys. Even if blood tests suggest leukemia, the doctor may look for signs of leukemia in the bone marrow by doing a biopsy before making a diagnosis. A biopsy is a procedure where a small amount of bone marrow is removed from a bone. A pathologist examines the sample under a microscope to look for abnormal cells. There are two ways the doctor can obtain bone marrow. In a bone marrow aspiration, marrow is collected by inserting a needle into the hipbone or another large bone and removing a small amount of bone marrow. A bone marrow biopsy is performed with a larger needle and removes bone marrow and a small piece of bone. If Leukemia Cells Are Found If leukemia cells are found in the bone marrow sample, the doctor may perform more tests to determine if the disease has spread to other parts of the body. The doctor may collect a sample of the fluid around the brain and spinal cord by performing a spinal tap and checking for leukemia cells or other signs of problems. Computed tomography (CT) scans, and ultrasounds are tests used to determine if leukemia has spread from the bone marrow. These tests produce pictures of the inside of the body. With these tests, the doctor looks for abnormalities such as enlarged organs or signs of infection."
What is (are) Leukemia ?,"Cancer begins in cells, which make up the blood and other tissues. Normally, cells grow, divide, and produce more cells as needed to keep the body healthy and functioning properly. Sometimes, however, the process of creating a new cell goes wrong -- cells become abnormal and form more cells in an uncontrolled way."
What is (are) Leukemia ?,"Leukemia is a cancer of the blood cells. It usually begins in the bone marrow where blood cells are formed. In leukemia, the bone marrow produces abnormal white blood cells. Over time, as the number of abnormal white blood cells builds up in the blood, they crowd out healthy blood cells. This makes it difficult for the blood to carry out its normal functions."
What is (are) Leukemia ?,"Acute leukemia gets worse quickly. In chronic leukemia, symptoms develop gradually and are generally not as severe as in acute leukemia."
What is (are) Leukemia ?,"There are four common types of leukemia. They are chronic lymphocytic leukemia, chronic myeloid leukemia, acute myeloid leukemia, and acute lymphocytic leukemia. Chronic lymphocytic leukemia, chronic myeloid leukemia, and acute myeloid leukemia are diagnosed more often in older adults. Acute lymphocytic leukemia is found more often in children. (Watch the video to learn how the rates of leukemia diagnosis vary by age. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Learn more about chronic lymphocytic leukemia.  Learn more about acute myeloid leukemia."
What is (are) Leukemia ?,"Myeloma and lymphoma are other types of blood cancers. Both are common among older adults and occur more often in men than women. Myeloma affects plasma cells, a type of white blood cells typically found in the bone marrow. Lymphoma starts in the lymphatic system, which is part of the body's immune system.  Learn more about myeloma."
What are the symptoms of Leukemia ?,"Common symptoms of leukemia may include -  fevers  - frequent infections  - feeling weak or tired  -  headache  - bleeding and bruising easily  - pain in the bones or joints  -  swelling or discomfort in the abdomen (from an enlarged spleen)  -  swollen lymph nodes, especially in the neck or armpit  - weight loss.  fevers frequent infections feeling weak or tired headache bleeding and bruising easily pain in the bones or joints swelling or discomfort in the abdomen (from an enlarged spleen) swollen lymph nodes, especially in the neck or armpit weight loss. Symptoms of acute leukemia may include vomiting, confusion, loss of muscle control, and seizures."
How to diagnose Leukemia ?,There are no standard or over-the-counter tests for leukemia. Your doctor can request lab analyses for leukemia that include blood tests that check the levels and types of blood cells and look for changes in the shape of blood cells. The doctor may also look for signs of leukemia in the bone marrow or the fluid around the brain or the spinal cord
What are the symptoms of Paget's Disease of Bone ?,"Symptoms Many people don't know they have Paget's disease because they have a mild case of the disease and do not have any symptoms. However, people with more advanced cases of the disease will likely have symptoms. Symptoms vary depending on which bone or bones are affected. People with Paget's disease may experience - bone pain  - misshapen bones  - fractures  - osteoarthritis of the joints adjacent to bone affected by the disease.  bone pain misshapen bones fractures osteoarthritis of the joints adjacent to bone affected by the disease. Paget's disease can also cause a variety of neurological complications as a result of compression of nerve tissue by bone affected by the disease. Misshapen bone is most obvious when the leg bones, skull, or bones of the spine are affected. Leg bones may become bowed, the skull may become enlarged, and malformed spinal bones may cause curvature of the spine. Complications People with Paget's disease also are more likely to break bones because bones affected by the disease are more fragile. Enlarged and malformed bones can distort the position of bones and joints. This causes wear and tear on the joints next to bones affected by Paget's disease, resulting in arthritis. On very rare occasions, Paget's disease is linked to the development of osteosarcoma, a type of bone cancer. Less than one percent of patients have this complication."
What is (are) Paget's Disease of Bone ?,"Paget's disease of bone is a disease that causes affected bones to become enlarged and misshapen. Our bones are living tissue, and our bodies are constantly breaking down old bone and replacing it with new bone. In Paget's disease, however, old bone is broken down and replaced at a faster rate than normal. The new bone is larger and weaker than normal bone."
What are the symptoms of Paget's Disease of Bone ?,"Pain may be a symptom, especially among people with more advanced Paget's disease. Affected bones also can become enlarged, misshapen, and more fragile and likely to break. Misshapen bones tend to be most noticeable in the legs, skull, and spine."
What are the complications of Paget's Disease of Bone ?,"Over time, Paget's disease may lead to other medical conditions, including arthritis, headaches, hearing loss, and nervous system problems, depending on which bones are affected. On very rare occasions, Paget's disease is associated with the development of osteosarcoma, a type of bone cancer. Less than one percent of patients have this complication."
How to diagnose Paget's Disease of Bone ?,"Paget's disease is almost always diagnosed by x-ray, although it may be discovered using one of two other tests: an alkaline phosphatase blood test or a bone scan. Paget's disease is often found by accident when a person undergoes one of these tests for another reason. In other cases, a person experiences problems that lead his or her physician to order these tests. If Paget's disease is first suggested by an alkaline phosphatase blood test or bone scan, the physician usually orders an x-ray to verify the diagnosis. A bone scan is typically used to identify all the bones in the skeleton that are affected by the disease."
What are the treatments for Paget's Disease of Bone ?,Yes. Some complications from Paget's disease respond well to surgery. Joint replacement may be helpful in people with severe arthritis of the hip or knee. Surgery can also realign affected leg bones to reduce pain or help broken bones heal in a better position.
